Time,Body,Disp (x),Disp (y),Disp (z),Velo (x),Velo (y),Velo (z),Acce (x),Acce (y),Acce (z),L Total,L,E,Bound,Ecce
100000,Sun,0,0,0,0,0,0,0,0,0,2.69286e+40,0,0,0,1
100000,Earth,-6.61221e+10,1.31353e+11,1627.08,-27061,-13611.9,0.0486273,0.00279475,-0.00547069,9.6289e-07,2.69286e+40,2.66035e+40,-2.64965e+33,1,0.0167595
100000,Moon,-6.57745e+10,1.31459e+11,9.43651e+06,-27363.5,-12585.9,91.7212,-0.000137971,-0.0063694,-7.86831e-05,2.69286e+40,2.82152e+34,-3.87438e+28,1,0.0918722
200000,Sun,0,0,0,0,0,0,0,0,0,2.69286e+40,0,0,0,1
200000,Earth,-6.88141e+10,1.29965e+11,12799,-26776.1,-14155.6,0.189137,0.00290207,-0.00540298,1.82106e-06,2.69286e+40,2.66003e+40,-2.65031e+33,1,0.0165125
200000,Moon,-6.85108e+10,1.30167e+11,1.8093e+07,-27353.8,-13259.9,80.2378,0.000371601,-0.00708542,-0.000148851,2.69286e+40,2.82628e+34,-3.87573e+28,1,0.0689127
300000,Sun,0,0,0,0,0,0,0,0,0,2.69286e+40,0,0,0,1
300000,Earth,-7.1477e+10,1.28522e+11,42026.3,-26480.7,-14692.5,0.406566,0.00300557,-0.00533502,2.48976e-06,2.69286e+40,2.65972e+40,-2.65095e+33,1,0.016277
300000,Moon,-7.12432e+10,1.28805e+11,2.52737e+07,-27282.2,-13997.3,62.461,0.00108698,-0.00762751,-0.000203613,2.69286e+40,2.83567e+34,-3.86797e+28,1,0.0114
400000,Sun,0,0,0,0,0,0,0,0,0,2.69286e+40,0,0,0,1
400000,Earth,-7.41098e+10,1.27027e+11,95949.3,-26175,-15222.6,0.678978,0.0031061,-0.00526742,2.91458e-06,2.69286e+40,2.65944e+40,-2.65152e+33,1,0.0160718
400000,Moon,-7.39646e+10,1.27366e+11,3.04346e+07,-27131.8,-14778,40.1746,0.00193554,-0.00794769,-0.000238546,2.69286e+40,2.84429e+34,-3.8533e+28,1,-nan(ind)
500000,Sun,0,0,0,0,0,0,0,0,0,2.69286e+40,0,0,0,1
500000,Earth,-7.67117e+10,1.25478e+11,178797,-25859.5,-15746,0.980617,0.00320457,-0.00520045,3.07363e-06,2.69286e+40,2.65922e+40,-2.65197e+33,1,0.0159119
500000,Moon,-7.66666e+10,1.25849e+11,3.3228e+07,-26893.3,-15578.8,15.4725,0.00283739,-0.00802712,-0.000251872,2.69286e+40,2.84821e+34,-3.83567e+28,1,-nan(ind)
600000,Sun,0,0,0,0,0,0,0,0,0,2.69286e+40,0,0,0,1
600000,Earth,-7.92814e+10,1.23878e+11,292166,-25534.2,-16262.7,1.28514,0.00330188,-0.00513402,2.97642e-06,2.69286e+40,2.65907e+40,-2.65229e+33,1,0.0158068
600000,Moon,-7.93402e+10,1.24251e+11,3.35201e+07,-26565.1,-16375.7,-9.50326,0.003716,-0.007875,-0.000244364,2.69286e+40,2.84775e+34,-3.81961e+28,1,0.0647939
700000,Sun,0,0,0,0,0,0,0,0,0,2.69286e+40,0,0,0,1
700000,Earth,-8.18182e+10,1.22226e+11,435114,-25199.1,-16772.8,1.56851,0.00339876,-0.00506777,2.65867e-06,2.69286e+40,2.65898e+40,-2.65246e+33,1,0.0157606
700000,Moon,-8.19768e+10,1.22574e+11,3.13837e+07,-26152.9,-17147.1,-32.7994,0.00450787,-0.00752386,-0.000218925,2.69286e+40,2.84565e+34,-3.80904e+28,1,0.0917795
800000,Sun,0,0,0,0,0,0,0,0,0,2.69286e+40,0,0,0,1
800000,Earth,-8.43209e+10,1.20523e+11,604506,-24854.4,-17276.2,1.81123,0.0034957,-0.00500116,2.17306e-06,2.69286e+40,2.65897e+40,-2.65249e+33,1,0.0157716
800000,Moon,-8.45684e+10,1.20823e+11,2.70696e+07,-25667.8,-17875.4,-52.8297,0.00516943,-0.00702123,-0.00017984,2.69286e+40,2.84358e+34,-3.80629e+28,1,0.102846
900000,Sun,0,0,0,0,0,0,0,0,0,2.69286e+40,0,0,0,1
900000,Earth,-8.67887e+10,1.18771e+11,795535,-24500,-17773,1.99941,0.00359291,-0.00493356,1.57768e-06,2.69286e+40,2.65903e+40,-2.65237e+33,1,0.0158344
900000,Moon,-8.71084e+10,1.19001e+11,2.09648e+07,-25124,-18548,-68.4661,0.00567922,-0.00641931,-0.00013183,2.69286e+40,2.84081e+34,-3.8118e+28,1,0.105259
1e+06,Sun,0,0,0,0,0,0,0,0,0,2.69286e+40,0,0,0,1
1e+06,Earth,-8.92206e+10,1.16969e+11,1.00229e+06,-24135.8,-18262.9,2.12482,0.00369037,-0.00486444,9.25592e-07,2.69286e+40,2.65914e+40,-2.65214e+33,1,0.0159409
